City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Kieta,PG,83.07,-6.2167,155.6333,No hotel found
5,Mount Isa,AU,89.37,-20.7333,139.5,Ibis Styles
22,Atuona,PF,78.12,-9.8,-139.0333,Pearl Resort
25,Soe,ID,81.18,-9.8607,124.284,DENA
29,Manokwari,ID,82.0,-0.8667,134.0833,Hotel Arfak
34,Butaritari,KI,81.45,3.0707,172.7902,No hotel found
38,Kapaa,US,80.92,22.0752,-159.319,Pono Kai Resort
39,Sassandra,CI,75.97,4.95,-6.0833,Hotel Le Pollet
45,Yulara,AU,87.6,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
48,Hithadhoo,MV,81.07,-0.6,73.0833,Pebbles Inn
53,Manaure,CO,77.56,11.7751,-72.4445,hotel palaima
55,Georgetown,MY,84.88,5.4112,100.3354,Page 63 hostel
78,Hilo,US,83.28,19.7297,-155.09,Dolphin Bay Hotel
80,Grand Gaube,MU,75.38,-20.0064,57.6608,Coco Villa
87,Isabela,PH,86.05,6.7085,121.9711,No hotel found
92,Alofi,NU,85.89,-19.0595,-169.9187,No hotel found
93,Carnarvon,AU,76.06,-24.8667,113.6333,No hotel found
97,Makakilo City,US,80.92,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
98,Harper,LR,77.05,4.375,-7.7169,No hotel found
103,Emerald,AU,76.33,-23.5333,148.1667,Emerald Central Hotel
104,Mumford,GH,78.08,5.2618,-0.759,No hotel found
107,Pedernales,DO,78.01,18.0384,-71.744,Hostal Doña Chava
113,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Prainha
116,Cabanas,CU,76.12,22.9758,-82.9219,Vista Hermosa
118,Vaini,TO,84.36,-21.2,-175.2,Keleti International Resort
121,Mahebourg,MU,75.25,-20.4081,57.7,Grand Bel Air
127,Lorengau,PG,84.7,-2.0226,147.2712,Seeadler Bay Hotel
129,Kilindoni,TZ,78.69,-7.9139,39.6668,Ibizza Inn
133,Neiafu,TO,84.88,-18.65,-173.9833,Port Wine Guest House
135,Itarema,BR,78.84,-2.9248,-39.9167,Pousada Oásis
139,Ciudad Bolivar,VE,75.94,8.1222,-63.5497,Paoca
159,Narrabri,AU,77.76,-30.3167,149.7833,Tattersall's Hotel
163,Kavaratti,IN,81.72,10.5669,72.642,No hotel found
165,Honiara,SB,82.92,-9.4333,159.95,King Solomon Hotel
175,Hobyo,SO,78.4,5.3505,48.5268,No hotel found
179,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
